1.000,57.0,5.6,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,
0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,
0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,

0.135,37.3,1.8,1.000,12.7,1.2,0.000,0.0,0.0,0.000,0.0,0.0,
0.345,45.4,3.1,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,
0.520,54.8,3.2,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,

0.096,28.1,4.9,0.151,40.5,12.7,0.840,12.7,0.6,0.000,0.0,0.0,
0.884,35.5,1.7,0.658,69.7,3.2,0.072,6.6,1.0,0.000,0.0,0.0,
0.019,40.4,0.3,0.191,62.2,3.2,0.088,19.7,0.9,0.000,0.0,0.0,

0.955,35.7,1.5,0.229,53.1,6.2,1.000,12.5,0.8,1.000,12.4,0.8,
0.045,40.7,0.4,0.771,58.3,2.9,0.000,0.0,0.0,0.000,0.0,0.0,
0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,
