31.7,35.4,32.9,7.6,9.3,13.3,
30.2,36.3,33.5,5.8,7.2,7.7,
33.7,31.0,35.3,5.1,4.5,4.9,
30.5,31.5,38.0,3.6,3.9,4.3,
25.8,32.5,41.7,2.9,4.4,5.1,
22.0,33.7,44.3,2.9,4.8,5.8,
19.0,33.2,47.8,2.2,4.8,5.7,
16.9,31.5,51.6,1.8,3.2,3.9,
15.9,31.1,53.1,1.7,3.0,3.7,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,

0.0,0.0,0.0,0.0,0.0,0.0,
31.7,31.6,36.7,4.9,5.9,7.3,
32.4,29.7,38.0,5.8,5.2,5.4,
29.7,29.1,41.2,4.7,4.5,5.1,
24.9,30.8,44.4,3.6,5.3,6.1,
21.6,31.0,47.4,2.6,5.4,6.3,
19.0,30.4,50.6,2.2,4.6,5.7,
16.8,28.9,54.4,1.7,3.7,4.4,
16.1,27.9,56.1,1.4,3.4,3.8,
15.3,27.5,57.3,1.5,3.5,3.8,
14.0,26.7,59.2,1.2,4.0,4.5,
0.0,0.0,0.0,0.0,0.0,0.0,
