7,4.75,
5.5,3.5,
5.75,4,
7.75,10,
14,18.25,
21.25,34.75,
41.5,67,
60.5,79.75,
80.75,71.75,
93.5,69,
88,75.5,
82.25,71.75,
76.75,64.75,
80,70.5,
70.75,62,
63,64,
65.5,67.25,
55.25,60.75,
47.75,39.75,
37.25,29.75,
32.25,20.5,
25.5,11,
16.75,10.25,
11.25,7,
