0.33,20.53,7.61,0.33,32,10,0,0,0,
0.5,46.46,13.99,0.56,61,26,0,0,0,
0.17,36.69,3.18,0.11,80,4.3,0,0,0,

0.66,65,15,0.78,50.61,14.41,0.3,45,6,
0.07,63.5,2.2,0.09,80.05,2.52,0.47,54,16,
0.27,49,6,0.13,93.89,10.55,0.23,84,10,
