0,0,0,0,0,0,
13.24,13.94,29.6,8.87,11.11,15.39,
43.55,38.84,31.63,15.97,18.85,19.93,
44.85,43.5,59.28,11.81,12.29,17.4,
49.31,59.57,91.47,12.55,22.02,26.02,
61.05,63.76,121.46,13.59,18.92,29.64,
62.1,66.61,170.08,7.01,13.46,24.59,
68.95,71.82,210.41,8.51,14.06,20.66,
79.5,79.5,234.8,10.84,10.84,2.78,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,

0,0,0,0,0,0,
15.6,29.11,24.45,7.81,20.55,16.86,
46.09,50.75,30.53,6.88,20.51,12.89,
48.3,42.84,63.79,10.89,12.54,16.16,
55.08,64.07,79.49,13.72,15.02,21.74,
57.25,67.42,119.3,13.13,17.99,26.1,
60.64,83.12,157.26,9.65,22.19,25.69,
60.64,90.19,203.78,12.82,14.11,14.89,
60.76,96.22,245.36,12.37,14.78,29.95,
67.42,113.47,259.97,6.14,9.14,25.23,
0,0,0,0,0,0,
0,0,0,0,0,0,
