1,131.36,2.23,0.49,78,11.5,0.567,148,19.24,0.55,160,27,0.58,190,41,
0,0,0,0.51,112,30.3,0.433,219,35,0.45,340,34,0.42,351,68,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

1,154.25,1.96,0.6,60,10.3,0.61,99,21.7,0.64,70,18.6,1,105.23,10.23,
0,0,0,0.4,190,54.5,0.39,240,33,0.36,322,33,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
